Surface-Form,Link,Part-of-Speech
expressions algébriques,https://fr.wikipedia.org/wiki/expressions_algébriques,NNS NNS
algèbre universelle,https://fr.wikipedia.org/wiki/algèbre_universelle,NN NN
équations algébriques,https://fr.wikipedia.org/wiki/équations_algébriques,NNS NNS
équations linéaires,https://fr.wikipedia.org/wiki/équations_linéaires,NNS NNS
algèbre linéaire,https://fr.wikipedia.org/wiki/algèbre_linéaire,NN NN
équations polynomiales,https://fr.wikipedia.org/wiki/équations_polynomiales,NNS NNS
groupes,https://fr.wikipedia.org/wiki/groupes,NNS
symétrie,https://fr.wikipedia.org/wiki/symétrie,NN
équations diophantiennes,https://fr.wikipedia.org/wiki/équations_diophantiennes,NNS NNS
anneau,https://fr.wikipedia.org/wiki/anneau,NN
idéal,https://fr.wikipedia.org/wiki/idéal,NN
Algèbre moderne,https://fr.wikipedia.org/wiki/Algèbre_moderne,NNP NN
rigueur intellectuelle,https://fr.wikipedia.org/wiki/rigueur_intellectuelle,NN NN
Applications,https://fr.wikipedia.org/wiki/Applications,NNS
topologie algébrique,https://fr.wikipedia.org/wiki/topologie_algébrique,NN NN
théorie algébrique des nombres,https://fr.wikipedia.org/wiki/théorie_algébrique_des_nombres,NN NN NNS NNS
Andrew Wiles,https://fr.wikipedia.org/wiki/Andrew_Wiles,NNP NNP
théorème de Fermat,https://fr.wikipedia.org/wiki/théorème_de_Fermat,NN IN NNP
Bases,https://fr.wikipedia.org/wiki/Bases,NNS
Théorie des ensembles,https://fr.wikipedia.org/wiki/Théorie_des_ensembles,NNP NNS NNS
Notion d'ensemble,https://fr.wikipedia.org/wiki/Notion_d'ensemble,NN NN
Sous-ensemble,https://fr.wikipedia.org/wiki/Sous-ensemble,JJ
Opérations sur les ensembles,https://fr.wikipedia.org/wiki/Opérations_sur_les_ensembles,NNS VBP NNS NNS
Produit cartésien,https://fr.wikipedia.org/wiki/Produit_cartésien,NNP NN
Relation binaire,https://fr.wikipedia.org/wiki/Relation_binaire,NN NN
Fonctions et applications,https://fr.wikipedia.org/wiki/Fonctions_et_applications,NNS VBP NNS
Loi de composition,https://fr.wikipedia.org/wiki/Loi_de_composition,NNP FW NN
Loi interne,https://fr.wikipedia.org/wiki/Loi_interne,NNP NN
Structures algébriques,https://fr.wikipedia.org/wiki/Structures_algébriques,NNS NNS
Structure algébrique,https://fr.wikipedia.org/wiki/Structure_algébrique,NN NN
Magma,https://fr.wikipedia.org/wiki/Magma,NN
Demi-groupe,https://fr.wikipedia.org/wiki/Demi-groupe,NN
Quasigroupe,https://fr.wikipedia.org/wiki/Quasigroupe,NN
Monoïde,https://fr.wikipedia.org/wiki/Monoïde,NN
Groupe,https://fr.wikipedia.org/wiki/Groupe,NN
Anneau,https://fr.wikipedia.org/wiki/Anneau,NN
Module,https://fr.wikipedia.org/wiki/Module,NN
Corps,https://fr.wikipedia.org/wiki/Corps,NN
Corps commutatif,https://fr.wikipedia.org/wiki/Corps_commutatif,NNP NN
Espace vectoriel,https://fr.wikipedia.org/wiki/Espace_vectoriel,NNP NN
Algèbre sur un anneau,https://fr.wikipedia.org/wiki/Algèbre_sur_un_anneau,NNP NN NN NN
Algèbre sur un corps,https://fr.wikipedia.org/wiki/Algèbre_sur_un_corps,NNP NN NN NN
Opérade,https://fr.wikipedia.org/wiki/Opérade,NN
Articles connexes,https://fr.wikipedia.org/wiki/Articles_connexes,NNS NNS
Évariste Galois,https://fr.wikipedia.org/wiki/Évariste_Galois,NN NNP
Niels Henrik Abel,https://fr.wikipedia.org/wiki/Niels_Henrik_Abel,NNP NNP NNP
Emmy Noether,https://fr.wikipedia.org/wiki/Emmy_Noether,NNP NNP
Théorie des codes,https://fr.wikipedia.org/wiki/Théorie_des_codes,NNP NNS NNS
Théorie des groupes,https://fr.wikipedia.org/wiki/Théorie_des_groupes,NNP VBZ NNS
algorithmes,https://fr.wikipedia.org/wiki/algorithmes,NNS
problème algorithmique,https://fr.wikipedia.org/wiki/problème_algorithmique,NN NN
Étymologie,https://fr.wikipedia.org/wiki/Étymologie,NN
mathématicien,https://fr.wikipedia.org/wiki/mathématicien,NN
Al-Khwarizmi,https://fr.wikipedia.org/wiki/Al-Khwarizmi,JJ
 siècle,https://fr.wikipedia.org/wiki/_siècle,NN
le premier ouvrage systématique,https://fr.wikipedia.org/wiki/le_premier_ouvrage_systématique,NN NN NN NN
quadratiques,https://fr.wikipedia.org/wiki/quadratiques,NNS
Antiquité,https://fr.wikipedia.org/wiki/Antiquité,NN
Babyloniens,https://fr.wikipedia.org/wiki/Babyloniens,NNS
av. J.-C.,https://fr.wikipedia.org/wiki/av._J.-C.,NN . NNP .
calcul,https://fr.wikipedia.org/wiki/calcul,NN
Éléments d'Euclide,https://fr.wikipedia.org/wiki/Éléments_d'Euclide,NNS VBP
algorithme d'Euclide,https://fr.wikipedia.org/wiki/algorithme_d'Euclide,NNS VBP
PGCD,https://fr.wikipedia.org/wiki/PGCD,NN
itération,https://fr.wikipedia.org/wiki/itération,NN
correction,https://fr.wikipedia.org/wiki/correction,NN
Archimède,https://fr.wikipedia.org/wiki/Archimède,NN
π,https://fr.wikipedia.org/wiki/π,NN
Étude systématique,https://fr.wikipedia.org/wiki/Étude_systématique,NN NN
arabophone,https://fr.wikipedia.org/wiki/arabophone,NN
Al Khuwarizmi,https://fr.wikipedia.org/wiki/Al_Khuwarizmi,NNP NNP
Abrégé du calcul par la restauration et la comparaison,https://fr.wikipedia.org/wiki/Abrégé_du_calcul_par_la_restauration_et_la_comparaison,NNP VBZ JJ NN NN NN FW FW NN
équations du second degré,https://fr.wikipedia.org/wiki/équations_du_second_degré,NNS VBP JJ NN
Averroès,https://fr.wikipedia.org/wiki/Averroès,NN
1126,https://fr.wikipedia.org/wiki/1126,CD
1198,https://fr.wikipedia.org/wiki/1198,CD
Adelard de Bath,https://fr.wikipedia.org/wiki/Adelard_de_Bath,NNP FW NNP
latin,https://fr.wikipedia.org/wiki/latin,NN
français,https://fr.wikipedia.org/wiki/français,NN
1554,https://fr.wikipedia.org/wiki/1554,CD
René Descartes,https://fr.wikipedia.org/wiki/René_Descartes,NNP NNS
Discours de la méthode,https://fr.wikipedia.org/wiki/Discours_de_la_méthode,NNP NNP FW NN
1637,https://fr.wikipedia.org/wiki/1637,CD
1677,https://fr.wikipedia.org/wiki/1677,CD
Ada Lovelace,https://fr.wikipedia.org/wiki/Ada_Lovelace,NNP NNP
Lord Byron,https://fr.wikipedia.org/wiki/Lord_Byron,NNP NNP
Charles Babbage,https://fr.wikipedia.org/wiki/Charles_Babbage,NNP NNP
1791,https://fr.wikipedia.org/wiki/1791,CD
1871,https://fr.wikipedia.org/wiki/1871,CD
L'époque contemporaine,https://fr.wikipedia.org/wiki/L'époque_contemporaine,NNP NN
machines de Turing,https://fr.wikipedia.org/wiki/machines_de_Turing,NNS IN VBG
algorithmique récursive,https://fr.wikipedia.org/wiki/algorithmique_récursive,NN NN
algorithmique parallèle,https://fr.wikipedia.org/wiki/algorithmique_parallèle,NN NN
informatique quantique,https://fr.wikipedia.org/wiki/informatique_quantique,NN NN
The Art of Computer Programming,https://fr.wikipedia.org/wiki/The_Art_of_Computer_Programming,DT NNP IN NNP VBG
Vocabulaire,https://fr.wikipedia.org/wiki/Vocabulaire,NN
langage de programmation,https://fr.wikipedia.org/wiki/langage_de_programmation,NN FW NN
codage,https://fr.wikipedia.org/wiki/codage,NN
code source,https://fr.wikipedia.org/wiki/code_source,NN NN
Étude formelle,https://fr.wikipedia.org/wiki/Étude_formelle,NN NN
Structures algorithmiques,https://fr.wikipedia.org/wiki/Structures_algorithmiques,NNS NNS
N. Wirth,https://fr.wikipedia.org/wiki/N._Wirth,NNP NNP
structures de contrôle,https://fr.wikipedia.org/wiki/structures_de_contrôle,NNS VBP NN
structures de données,https://fr.wikipedia.org/wiki/structures_de_données,NNS VBP NN
Lisp,https://fr.wikipedia.org/wiki/Lisp,NN
Prolog,https://fr.wikipedia.org/wiki/Prolog,NN
récursivité,https://fr.wikipedia.org/wiki/récursivité,NN
"Correction, complétude, terminaison","https://fr.wikipedia.org/wiki/Correction,_complétude,_terminaison","NN , NN , NN"
terminaison,https://fr.wikipedia.org/wiki/terminaison,NN
Complexité algorithmique,https://fr.wikipedia.org/wiki/Complexité_algorithmique,NNP NN
Théorie de la complexité des algorithmes,https://fr.wikipedia.org/wiki/Théorie_de_la_complexité_des_algorithmes,NNP NNP FW NN NNS NNS
notions de domination,https://fr.wikipedia.org/wiki/notions_de_domination,NNS VBP NN
fonction mathématique,https://fr.wikipedia.org/wiki/fonction_mathématique,NN NN
bits,https://fr.wikipedia.org/wiki/bits,NNS
algorithme de tri,https://fr.wikipedia.org/wiki/algorithme_de_tri,NN IN NN
temps d'exécution,https://fr.wikipedia.org/wiki/temps_d'exécution,NNS NN
espace mémoire,https://fr.wikipedia.org/wiki/espace_mémoire,NN NN
combinatoire,https://fr.wikipedia.org/wiki/combinatoire,NN
évaluation asymptotique,https://fr.wikipedia.org/wiki/évaluation_asymptotique,NN NN
séries génératrices,https://fr.wikipedia.org/wiki/séries_génératrices,NNS NNS
analyse complexe,https://fr.wikipedia.org/wiki/analyse_complexe,NN NN
combinatoire analytique,https://fr.wikipedia.org/wiki/combinatoire_analytique,NN NN
théorie de la complexité des algorithmes,https://fr.wikipedia.org/wiki/théorie_de_la_complexité_des_algorithmes,NN IN FW FW NNS NNS
Quelques indications sur l’efficacité des algorithmes,https://fr.wikipedia.org/wiki/Quelques_indications_sur_l’efficacité_des_algorithmes,NNS NNS VBP NN NNP NN NNS NNS
tri rapide,https://fr.wikipedia.org/wiki/tri_rapide,NNS VBP
localité,https://fr.wikipedia.org/wiki/localité,NN
mémoire virtuelle,https://fr.wikipedia.org/wiki/mémoire_virtuelle,NN NN
tri par tas,https://fr.wikipedia.org/wiki/tri_par_tas,NN NN NNS
swapping,https://fr.wikipedia.org/wiki/swapping,VBG
amortie,https://fr.wikipedia.org/wiki/amortie,NN
analyse lisse,https://fr.wikipedia.org/wiki/analyse_lisse,NN NN
algorithme du simplexe,https://fr.wikipedia.org/wiki/algorithme_du_simplexe,NN NN NN
Approches pratiques,https://fr.wikipedia.org/wiki/Approches_pratiques,NNS NNS
algorithme glouton,https://fr.wikipedia.org/wiki/algorithme_glouton,IN NN
diviser pour régner,https://fr.wikipedia.org/wiki/diviser_pour_régner,RB NN NN
recherche exhaustive,https://fr.wikipedia.org/wiki/recherche_exhaustive,NN NN
programmation dynamique,https://fr.wikipedia.org/wiki/programmation_dynamique,NN NN
Les heuristiques,https://fr.wikipedia.org/wiki/Les_heuristiques,NNP NNS
 Algorithme de Las Vegas,https://fr.wikipedia.org/wiki/_Algorithme_de_Las_Vegas,NNP FW NNP NNP
Algorithme de Monte-Carlo,https://fr.wikipedia.org/wiki/Algorithme_de_Monte-Carlo,NNP IN NNP
algorithme de Las Vegas,https://fr.wikipedia.org/wiki/algorithme_de_Las_Vegas,NN IN NNP NNP
algorithme de Monte-Carlo,https://fr.wikipedia.org/wiki/algorithme_de_Monte-Carlo,NN IN NNP
heuristique,https://fr.wikipedia.org/wiki/heuristique,NN
jeu d’échecs,https://fr.wikipedia.org/wiki/jeu_d’échecs,NN NN NNP NN
jeu de go,https://fr.wikipedia.org/wiki/jeu_de_go,NN NNS VBP
logiciels antivirus,https://fr.wikipedia.org/wiki/logiciels_antivirus,NNS VBP
virus informatiques,https://fr.wikipedia.org/wiki/virus_informatiques,NN NNS
problème SAT,https://fr.wikipedia.org/wiki/problème_SAT,NN NNP
problème NP-complet,https://fr.wikipedia.org/wiki/problème_NP-complet,NN NN
façon pratique et efficace par la mise au point d'heuristiques,https://fr.wikipedia.org/wiki/façon_pratique_et_efficace_par_la_mise_au_point_d'heuristiques,NN NN FW NN NN NN NN NN NN NNS
"Exemples d’algorithmes, de problèmes, d'applications ou domaines d'application","https://fr.wikipedia.org/wiki/Exemples_d’algorithmes,_de_problèmes,_d'applications_ou_domaines_d'application","NNP VBZ NNP NNS , FW FW , NNS VBP NNS NN"
liste des algorithmes,https://fr.wikipedia.org/wiki/liste_des_algorithmes,NN NNS NNS
Structure de données,https://fr.wikipedia.org/wiki/Structure_de_données,NN FW NN
Recherche dichotomique,https://fr.wikipedia.org/wiki/Recherche_dichotomique,NNP NN
problème du voyageur de commerce,https://fr.wikipedia.org/wiki/problème_du_voyageur_de_commerce,NN JJ NN IN NN
problème du sac à dos,https://fr.wikipedia.org/wiki/problème_du_sac_à_dos,NN NN NN NNP NN
algorithme récursif,https://fr.wikipedia.org/wiki/algorithme_récursif,NN NN
tours de Hanoï,https://fr.wikipedia.org/wiki/tours_de_Hanoï,NNS VBP NNP
huit dames,https://fr.wikipedia.org/wiki/huit_dames,NN NNS
suite de Conway,https://fr.wikipedia.org/wiki/suite_de_Conway,NN FW NNP
fractale,https://fr.wikipedia.org/wiki/fractale,NN
Tapis de Sierpiński,https://fr.wikipedia.org/wiki/Tapis_de_Sierpiński,NNP FW NNP
Courbe du dragon,https://fr.wikipedia.org/wiki/Courbe_du_dragon,NNP NN NN
Flocon de Koch,https://fr.wikipedia.org/wiki/Flocon_de_Koch,NNP FW NNP
factorielle,https://fr.wikipedia.org/wiki/factorielle,NN
Fonction d'Ackermann,https://fr.wikipedia.org/wiki/Fonction_d'Ackermann,NN NN
suite de Fibonacci,https://fr.wikipedia.org/wiki/suite_de_Fibonacci,NN FW NNP
fraction continue d'un nombre quadratique,https://fr.wikipedia.org/wiki/fraction_continue_d'un_nombre_quadratique,NN VBP NN NN NN
racine carrée,https://fr.wikipedia.org/wiki/racine_carrée,NN NN
méthode de Newton,https://fr.wikipedia.org/wiki/méthode_de_Newton,NN IN NNP
algorithme d'unification,https://fr.wikipedia.org/wiki/algorithme_d'unification,NN NN
base de Gröbner,https://fr.wikipedia.org/wiki/base_de_Gröbner,NN FW NNP
calcul symbolique,https://fr.wikipedia.org/wiki/calcul_symbolique,NN NN
théorie des graphes,https://fr.wikipedia.org/wiki/théorie_des_graphes,NN NNS NNS
test de primalité,https://fr.wikipedia.org/wiki/test_de_primalité,NN IN NN
cryptologie,https://fr.wikipedia.org/wiki/cryptologie,NN
compression de données,https://fr.wikipedia.org/wiki/compression_de_données,NN IN NN
Informatique musicale,https://fr.wikipedia.org/wiki/Informatique_musicale,NNP NN
algorithme génétique,https://fr.wikipedia.org/wiki/algorithme_génétique,NN NN
informatique décisionnelle,https://fr.wikipedia.org/wiki/informatique_décisionnelle,NN NN
Compilateur,https://fr.wikipedia.org/wiki/Compilateur,NN
Interprète (informatique),https://fr.wikipedia.org/wiki/Interprète_(informatique),NNP ( NN )
allocation de mémoire,https://fr.wikipedia.org/wiki/allocation_de_mémoire,NN IN NN
ramasse-miettes,https://fr.wikipedia.org/wiki/ramasse-miettes,NNS
Annexes,https://fr.wikipedia.org/wiki/Annexes,NNS
espaces vectoriels,https://fr.wikipedia.org/wiki/espaces_vectoriels,NNS NNS
transformations linéaires,https://fr.wikipedia.org/wiki/transformations_linéaires,NNS NNS
systèmes d'équations linéaires,https://fr.wikipedia.org/wiki/systèmes_d'équations_linéaires,NNS NNS NNS
géométrie,https://fr.wikipedia.org/wiki/géométrie,NN
droites,https://fr.wikipedia.org/wiki/droites,NNS
équation linéaire,https://fr.wikipedia.org/wiki/équation_linéaire,NN NN
algèbre,https://fr.wikipedia.org/wiki/algèbre,NN
déterminants,https://fr.wikipedia.org/wiki/déterminants,NNS
Jean d'Alembert,https://fr.wikipedia.org/wiki/Jean_d'Alembert,NNP NN
Carl Friedrich Gauss,https://fr.wikipedia.org/wiki/Carl_Friedrich_Gauss,NNP NNP NNP
une méthode générique,https://fr.wikipedia.org/wiki/une_méthode_générique,JJ NN NN
Camille Jordan,https://fr.wikipedia.org/wiki/Camille_Jordan,NNP NNP
réduction d'endomorphisme,https://fr.wikipedia.org/wiki/réduction_d'endomorphisme,NN NN
William Rowan Hamilton,https://fr.wikipedia.org/wiki/William_Rowan_Hamilton,NNP NNP NNP
quaternions,https://fr.wikipedia.org/wiki/quaternions,NNS
extension,https://fr.wikipedia.org/wiki/extension,NN
corps,https://fr.wikipedia.org/wiki/corps,NN
nombres réels,https://fr.wikipedia.org/wiki/nombres_réels,NNS NNS
Hermann Grassmann,https://fr.wikipedia.org/wiki/Hermann_Grassmann,NNP NNP
Giuseppe Peano,https://fr.wikipedia.org/wiki/Giuseppe_Peano,NNP NNP
analyse,https://fr.wikipedia.org/wiki/analyse,NN
espaces de fonctions,https://fr.wikipedia.org/wiki/espaces_de_fonctions,NNS VBP NNS
Intérêt,https://fr.wikipedia.org/wiki/Intérêt,NN
droite,https://fr.wikipedia.org/wiki/droite,NN
plan,https://fr.wikipedia.org/wiki/plan,NN
espace,https://fr.wikipedia.org/wiki/espace,NN
Euclide,https://fr.wikipedia.org/wiki/Euclide,NN
mécanique,https://fr.wikipedia.org/wiki/mécanique,NN
sciences naturelles,https://fr.wikipedia.org/wiki/sciences_naturelles,NNS NNS
sciences sociales,https://fr.wikipedia.org/wiki/sciences_sociales,NNS NNS
sciences de l'ingénieur,https://fr.wikipedia.org/wiki/sciences_de_l'ingénieur,NNS FW FW
recherche opérationnelle,https://fr.wikipedia.org/wiki/recherche_opérationnelle,NN NN
théorie des groupes,https://fr.wikipedia.org/wiki/théorie_des_groupes,NN NNS NNS
